"date relative","plateforme","format","titre","caption","CTA","asset à créer","statut"
"J-7","Instagram + Facebook","Carrousel","Premier détail de la nouvelle identité","Une nouvelle étape se prépare pour Ethny. Plus profonde, plus claire, plus fidèle à ce que nous voulons faire vivre à table.","Suivre la suite","teasing-detail-logo-1080x1350","Brief visuel"
"J-6","Instagram Story","Story / Reel court","La palette verte","Le vert devient notre couleur de fond : végétal, profond, vivant. Une teinte pensée pour accompagner le voyage, le terroir et la précision du geste.","Découvrir demain","story-palette-verte-1080x1920","Brief visuel"
"J-5","Instagram","Carrousel","Pictogrammes signature","De nouveaux signes arrivent. Discrets, précis, faits pour accompagner l'expérience sans prendre la place du plat.","Voir les détails","carrousel-pictogrammes-1080x1350","Brief visuel"
"J-4","Instagram Story + Instagram","Story + Post","Texture et filigrane","Il y a des détails que l'on remarque à peine, mais qui changent toute l'atmosphère. C'est dans cette précision que la nouvelle identité prend forme.","Réagir en story","texture-filigrane-vague-1080x1920","Brief visuel"
"J-3","Instagram","Reel","Coulisses du site","Le nouveau site prend forme. Il racontera mieux les expériences, les services et la manière dont chaque événement est pensé avec soin.","Activer les notifications","reel-coulisses-site-1080x1920","Brief visuel"
"J-2","Instagram + Facebook","Post 1080x1350","Nouvelle identité même exigence","Nouvelle identité, même exigence. Demain, Ethny se révèle un peu plus.","Revenir demain","post-nouvelle-identite-1080x1350","Brief visuel"
"J-1","Instagram Story","Story compte à rebours","Dernier aperçu avant reveal","Plus qu'un jour avant de découvrir la nouvelle présence en ligne d'Ethny. Un site pensé pour mieux vous guider vers votre prochaine expérience culinaire.","Mettre un rappel","story-compte-a-rebours-1080x1920","Brief visuel"
"Jour J","Instagram + Facebook + LinkedIn + GBP","Reel + Carrousel","Nouveau site en ligne","Le nouveau site Ethny est en ligne. Une identité plus claire, plus végétale et plus contemporaine pour raconter la même exigence : créer des expériences culinaires sur mesure, humaines et précises.","Découvrir le site","reveal-site-1080x1920","Brief visuel"
"J+1","Instagram + GBP","Carrousel","Chef à domicile","Pour un dîner à domicile, l'expérience commence avant l'assiette : échange, menu, rythme du service, détails du lieu. Ethny accompagne chaque moment avec précision.","Demander une proposition","service-chef-a-domicile-1080x1350","Brief visuel"
"J+2","Instagram","Reel","Chef privé","Un chef privé, c'est plus qu'un menu. C'est une présence, un rythme, une cuisine pensée pour vos invités et votre maison.","Vérifier la disponibilité","reel-chef-prive-1080x1920","Brief visuel"
"J+3","Instagram + LinkedIn","Carrousel","Traiteur événementiel","Réception privée, cocktail, repas assis ou événement d'entreprise : Ethny imagine une proposition culinaire cohérente, élégante et adaptée au lieu.","Demander un devis","service-traiteur-evenementiel-1080x1350","Brief visuel"
"J+4","Instagram + GBP","Post preuve sociale","Avis et confiance","La confiance se construit dans les détails : la clarté avant l'événement, la présence du chef, la précision du service et le souvenir laissé aux invités.","Lire les avis","preuve-sociale-avis-1080x1350","Brief visuel"
"J+5","Google Business Profile + Instagram","Post GBP","Chef à domicile local","Vous recherchez un chef à domicile pour un moment privé ou professionnel ? Ethny propose des expériences culinaires sur mesure, entre base française et influences nomades.","Envoyer une demande","gbp-chef-a-domicile-1200x628","Brief visuel"
"J+6","Instagram + Facebook","Carrousel","Mariages et réceptions","Pour un mariage intime ou une réception premium, la cuisine doit accompagner l'atmosphère sans la dominer. Ethny travaille le menu, le service et les détails avec exigence.","Parler de votre événement","service-mariage-reception-1080x1350","Brief visuel"
"J+7","Instagram","Reel / Carrousel","Anniversaires premium","Un anniversaire peut devenir une vraie expérience de table : menu sur mesure, service fluide, cuisine généreuse et élégante.","Demander une proposition","service-anniversaire-premium-1080x1350","Brief visuel"
"J+8","Instagram + Facebook","Post carré + Story","Cours de cuisine","Les cours de cuisine Ethny sont pensés comme un moment vivant : apprendre, goûter, comprendre un geste et partager une cuisine qui voyage.","Poser une question","service-cours-cuisine-1080x1080","Brief visuel"
"J+9","Instagram","Carrousel","Table d'hôte et expériences privées","Certaines expériences se vivent en petit comité : une table, un menu, un fil conducteur et la présence du chef pour donner du relief au moment.","Découvrir les expériences","experience-privee-table-1080x1350","Brief visuel"
"J+10","Instagram","Reel","Voyage et terroir","Ethny part d'une base française et l'ouvre aux influences du Brésil, de l'Asie, de la Méditerranée et de l'Orient. Le voyage reste précis, jamais décoratif.","Voir les menus","reel-voyage-terroir-1080x1920","Brief visuel"
"J+11","LinkedIn + Instagram","Post LinkedIn","Événements corporate","Pour un dîner d'équipe, une réception client ou un moment corporate, Ethny apporte une cuisine soignée, une logistique claire et un service discret.","Échanger sur un projet","corporate-evenement-1200x628","Brief visuel"
"J+12","Instagram + Facebook","Post + Story","Anciens clients","Vous nous avez déjà confié un dîner, un cours ou un événement. La nouvelle identité Ethny est aussi une manière de mieux raconter ces moments partagés.","Revenir en direct","reactivation-anciens-clients-1080x1350","Brief visuel"
"J+13","Instagram + GBP","Carrousel","Récapitulatif services","Le nouveau site est ouvert. Chef à domicile, chef privé, traiteur événementiel, mariages, anniversaires premium, cours de cuisine ou expérience privée : chaque demande commence par une proposition sur mesure.","Demander une proposition","recap-services-1080x1350","Brief visuel"
